Player Name,birth,nation,Season,Team,Tournament,Apps,Mins,Goals,Assists,Yellow,Red,Goals/90min,Assists/90min,SpG,PS%,AerialWon,MotM,Rating,Tackles,Interceptions,Fouls,OffsidesWon,Clear,HasBeenDribbled,Blocks,KeyPasses,Dribbles,Fouled,Dispossessed,BadControl,As Sub,nom_x,Player_Name,Team_,Tournament_,id
Alisson,1992-10-02,England,2020/2021,Liverpool,EPL,3,270,0,0,0,0,0.0,0.0,0.0,81.9,0.3,0,6.82,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,alisson,alisson,liverpool,epl,212831
Alisson,1992-10-02,England,2019/2020,Liverpool,EPL,29,2545,0,1,0,1,0.0,0.04,0.0,84.6,0.2,1,6.62,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,alisson,alisson,liverpool,epl,212831
Alisson,1992-10-02,England,2019/2020,Liverpool,UCL,5,450,0,0,0,0,0.0,0.0,0.0,90.3,0.4,0,6.85,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,alisson,alisson,liverpool,ucl,212831
Alisson,1992-10-02,England,2019,Brazil,ICA,6,570,0,0,0,0,0.0,0.0,0.0,92.2,0.3,0,6.88,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,alisson,alisson,brazil,ica,212831
Alisson,1992-10-02,England,2018/2019,Liverpool,EPL,38,3420,0,0,1,0,0.0,0.0,0.0,80.3,0.3,0,6.79,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0,alisson,alisson,liverpool,epl,212831
Alisson,1992-10-02,England,2018/2019,Liverpool,UCL,13,1170,0,0,0,0,0.0,0.0,0.0,76.7,0.2,1,6.93,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,alisson,alisson,liverpool,ucl,212831
Alisson,1992-10-02,England,2017/2018,Roma,ISA,37,3330,0,0,1,0,0.0,0.0,0.0,78.9,0.2,1,6.99,0.0,0.1,0.0,0.0,1.1,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0,alisson,alisson,roma,isa,212831
Alisson,1992-10-02,England,2017/2018,Roma,UCL,12,1080,0,0,0,0,0.0,0.0,0.0,80.4,0.3,0,6.86,0.1,0.1,0.0,0.0,0.7,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0,alisson,alisson,roma,ucl,212831
Alisson,1992-10-02,England,2016/2017,Roma,UEL,10,900,0,0,0,0,0.0,0.0,0.0,82.1,0.0,1,7.01,0.0,0.1,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,alisson,alisson,roma,uel,212831
Alisson,1992-10-02,England,2016,Internacional,BSA,1,90,0,0,0,0,0.0,0.0,0.0,71.4,0.0,0,6.95,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,alisson,alisson,internacional,bsa,212831
Alisson,1992-10-02,England,2018,Brazil,WC,5,450,0,0,0,0,0.0,0.0,0.0,84.2,0.4,0,6.4,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,alisson,alisson,brazil,wc,212831
Alisson,1992-10-02,England,2015,Internacional,BSA,26,2266,0,0,3,0,0.0,0.0,0.0,55.4,0.4,4,6.98,0.0,0.1,0.0,0.0,1.3,0.1,0.0,0.1,0.0,0.1,0.0,0.2,0,alisson,alisson,internacional,bsa,212831
Alisson,1992-10-02,England,2014,Internacional,BSA,11,990,0,0,1,0,0.0,0.0,0.0,61.0,0.6,1,6.91,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0,alisson,alisson,internacional,bsa,212831
Alisson,1992-10-02,England,2013,Internacional,BSA,6,518,0,0,1,0,0.0,0.0,0.0,58.9,0.2,0,6.52,0.0,0.0,0.2,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,alisson,alisson,internacional,bsa,212831
Fabinho,1993-10-23,England,2020/2021,Liverpool,EPL,4,391,0,0,1,0,0.0,0.0,0.2,91.7,0.6,0,6.77,3.2,2.0,0.4,0.0,0.4,1.2,0.2,0.4,0.2,1.4,0.2,0.8,1,fabinho,fabinho,liverpool,epl,209499
Fabinho,1993-10-23,England,2019/2020,Liverpool,EPL,22,2075,2,3,6,0,0.09,0.13,0.4,87.0,1.5,1,6.89,2.2,1.2,1.1,0.0,0.6,1.5,0.1,0.7,0.3,0.7,0.3,0.5,6,fabinho,fabinho,liverpool,epl,209499
Fabinho,1993-10-23,England,2019/2020,Liverpool,UCL,6,484,0,1,1,0,0.0,0.19,0.9,87.7,1.3,0,6.75,2.3,1.0,1.1,0.0,0.1,1.1,0.0,0.3,0.6,0.7,0.3,0.4,1,fabinho,fabinho,liverpool,ucl,209499
Fabinho,1993-10-23,England,2018/2019,Liverpool,EPL,21,2013,1,2,6,0,0.04,0.09,0.6,85.3,2.0,0,6.95,2.1,1.0,1.0,0.2,0.9,1.3,0.2,0.6,0.4,1.1,0.6,0.4,7,fabinho,fabinho,liverpool,epl,209499
Fabinho,1993-10-23,England,2018/2019,Liverpool,UCL,7,727,0,0,3,0,0.0,0.0,0.3,81.1,2.0,1,6.9,2.5,1.1,1.6,0.0,1.4,2.0,0.0,0.4,0.2,1.2,0.1,0.7,4,fabinho,fabinho,liverpool,ucl,209499
Fabinho,1993-10-23,England,2017/2018,Monaco,UCL,5,450,0,0,2,0,0.0,0.0,0.2,77.6,3.2,0,6.78,3.6,1.6,2.0,0.2,1.0,0.8,0.0,0.2,1.0,2.6,0.8,0.6,0,fabinho,fabinho,monaco,ucl,209499
Fabinho,1993-10-23,England,2017/2018,Monaco,FL1,34,3060,7,3,8,0,0.21,0.09,0.7,86.3,2.9,6,7.51,3.4,1.3,1.7,0.1,1.7,1.9,0.4,1.1,1.1,1.9,0.6,0.7,0,fabinho,fabinho,monaco,fl1,209499
Fabinho,1993-10-23,England,2016/2017,Monaco,UCL,9,846,1,3,4,0,0.11,0.32,0.8,85.1,1.0,2,7.41,3.3,2.1,1.6,0.1,1.8,1.5,0.6,0.8,1.5,2.1,0.5,0.6,1,fabinho,fabinho,monaco,ucl,209499
Fabinho,1993-10-23,England,2016/2017,Monaco,FL1,33,3071,9,1,8,0,0.26,0.03,0.8,84.4,1.8,2,7.51,3.1,1.4,1.8,0.0,1.8,1.6,0.3,0.9,1.0,1.8,0.5,0.6,4,fabinho,fabinho,monaco,fl1,209499
Fabinho,1993-10-23,England,2015/2016,Monaco,UEL,5,450,0,0,3,0,0.0,0.0,0.2,80.3,1.0,0,7.16,2.4,4.2,1.6,0.2,2.0,1.4,0.2,0.6,1.2,1.8,0.0,0.8,0,fabinho,fabinho,monaco,uel,209499
Fabinho,1993-10-23,England,2015/2016,Monaco,FL1,34,3060,6,4,9,0,0.18,0.12,0.9,81.4,1.9,1,7.34,3.2,2.2,2.0,0.2,2.5,1.3,0.2,0.7,0.9,1.7,0.5,0.8,0,fabinho,fabinho,monaco,fl1,209499
